,time,content_original,search_key,hash_tags,datetime,date,content_all,content_noun
20,2022-09-30T10:35:38.000Z,"A5: I am not an expert on the policy-aspects of  #SustainableFinance , but I think the EU taxonomy is an important first step to find a standard definition and framework. That said, I am disappointed in the lack of rigerousness by including gas and nuclear energy...","""sustainablefinance""AND""definition""",SustainableFinance,2022-09-30 10:35:38+00:00,2022-09-30,"['a5', 'expert', 'policy-aspects', 'sustainablefinance', 'think', 'eu', 'taxonomy', 'important', 'first', 'step', 'find', 'standard', 'definition', 'framework', 'say', 'disappoint', 'lack', 'rigerousness', 'include', 'gas', 'nuclear', 'energy', '...']","['a5', 'expert', 'policy-aspects', 'sustainablefinance', 'eu', 'taxonomy', 'step', 'definition', 'framework', 'lack', 'rigerousness', 'gas', 'energy']"
21,2022-09-14T08:15:08.000Z,"The definition of  #sustainablefinance  is still unfixed. “Although investors are already asked about their preferences, standardised sustainability information on financial products will not be available until 2023”,   says #MiFID   #SFDR","""sustainablefinance""AND""definition""",sustainablefinance,2022-09-14 08:15:08+00:00,2022-09-14,"['definition', 'sustainablefinance', 'still', 'unfixed', '“', 'although', 'investor', 'already', 'ask', 'preference', 'standardise', 'sustainability', 'information', 'financial', 'product', 'available', '2023', '”', 'say', 'mifid', 'sfdr']","['definition', 'sustainablefinance', 'investor', 'preference', 'sustainability', 'information', 'product', '”', 'sfdr']"
22,2022-09-28T09:15:00.000Z,"The European Supervisory Authorities is seeking clarification on the definition of sustainable investments. Using   &   data, we examine what's needed to make the  #SFDR  more useful for  #investors      #sustainablefinance","""sustainablefinance""AND""definition""",SFDR,2022-09-28 09:15:00+00:00,2022-09-28,"['european', 'supervisory', 'authority', 'seek', 'clarification', 'definition', 'sustainable', 'investment', 'use', 'data', 'examine', ""'s"", 'need', 'make', 'sfdr', 'useful', 'investor', 'sustainablefinance']","['supervisory', 'authority', 'clarification', 'definition', 'investment', 'data', 'sfdr', 'investor', 'sustainablefinance']"
23,2022-09-30T10:35:38.000Z,"Sie werden keinen normalen Rucksack mehr nutzen
""War zuerst verunsichert, weil die Bestellung ins Ausland ging. Das Produkt ist gut verarbeitet und sieht toll aus. Habe es bereits für ein Wochenende eingesetzt und bin überrasch was alles Platz hat.""","""sustainablefinance""AND""definition""",,2022-09-30 10:35:38+00:00,2022-09-30,"['sie', 'werden', 'keinen', 'normalen', 'rucksack', 'mehr', 'nutzen', ""''"", 'war', 'zuerst', 'verunsichert', 'weil', 'die', 'bestellung', 'ausland', 'ging', 'das', 'produkt', 'ist', 'gut', 'verarbeitet', 'und', 'sieht', 'toll', 'au', 'habe', 'es', 'bereits', 'für', 'ein', 'wochenende', 'eingesetzt', 'und', 'bin', 'überrasch', 'alles', 'platz', 'hat', ""''""]","['sie', 'keinen', 'rucksack', 'mehr', 'war', 'zuerst', 'verunsichert', 'die', 'bestellung', 'ist', 'gut', 'verarbeitet', 'toll', 'au', 'habe', 'bereits', 'eingesetzt', 'bin', 'überrasch', 'alles']"
24,2022-09-07T11:05:51.000Z,"   &   just released the 2022 primers on  #sustainablefinance ! The documents aim to address key questions, definitions, and recent developments in the field of sustainable finance   Learn More: ","""sustainablefinance""AND""definition""",sustainablefinance,2022-09-07 11:05:51+00:00,2022-09-07,"['release', '2022', 'primer', 'sustainablefinance', 'document', 'aim', 'address', 'key', 'question', 'definition', 'recent', 'development', 'field', 'sustainable', 'finance', 'learn']","['primer', 'sustainablefinance', 'document', 'question', 'definition', 'development', 'field', 'finance']"
25,2022-07-04T22:00:40.000Z,"#ASFI  has begun work on a  #sustainablefinance  taxonomy for Australia, to provide clear, transparent and scientifically credible definitions of sustainable activities. ASFI CEO Kristy Graham gives us a glimpse at how this will look in Australia.","""sustainablefinance""AND""definition""",ASFI,2022-07-04 22:00:40+00:00,2022-07-04,"['asfi', 'begin', 'work', 'sustainablefinance', 'taxonomy', 'australia', 'provide', 'clear', 'transparent', 'scientifically', 'credible', 'definition', 'sustainable', 'activity', 'asfi', 'ceo', 'kristy', 'graham', 'give', 'u', 'glimpse', 'look', 'australia']","['asfi', 'work', 'sustainablefinance', 'taxonomy', 'australia', 'definition', 'activity', 'asfi', 'ceo', 'graham', 'glimpse', 'australia']"
26,2022-06-28T12:09:00.000Z,"The 2022 updates to the Principles have arrived and include new definitions for green securitisation, updated key performance indicators for Sustainability-Linked Bonds and new resources for climate transition finance.  #icmagroup   #sustainablefinance","""sustainablefinance""AND""definition""",icmagroup,2022-06-28 12:09:00+00:00,2022-06-28,"['2022', 'update', 'principle', 'arrive', 'include', 'new', 'definition', 'green', 'securitisation', 'updated', 'key', 'performance', 'indicator', 'sustainability-linked', 'bond', 'new', 'resource', 'climate', 'transition', 'finance', 'icmagroup', 'sustainablefinance']","['update', 'principle', 'definition', 'securitisation', 'performance', 'indicator', 'bond', 'resource', 'climate', 'transition', 'finance', 'sustainablefinance']"
27,2022-06-27T04:00:18.000Z,"It will take more than top-level talks for  China and the U.S. to find common ground and address important issues, says Ted Carpenter, a Senior Fellow with the Randolph Bourne Institute – the underlying problems must be addressed at a different level.","""sustainablefinance""AND""definition""",,2022-06-27 04:00:18+00:00,2022-06-27,"['take', 'top-level', 'talk', 'china', 'u.s.', 'find', 'common', 'ground', 'address', 'important', 'issue', 'say', 'ted', 'carpenter', 'senior', 'fellow', 'randolph', 'bourne', 'institute', '–', 'underlying', 'problem', 'must', 'address', 'different', 'level']","['talk', 'china', 'ground', 'address', 'issue', 'carpenter', 'fellow', 'randolph', 'institute', 'problem', 'level']"
28,2022-05-24T08:07:51.000Z,"here is the new, robust, clear and mostly visionary definition of  #sustainablefinance :   'future-fit investments'     we need to focus on future-fit investments, states  @seankidney   #fossilgas   #fossilfuels   #climatecrisis   #climatefinance   #greenfinance   #sustainablefinance   #eutaxonomy   #veto","""sustainablefinance""AND""definition""",sustainablefinance,2022-05-24 08:07:51+00:00,2022-05-24,"['new', 'robust', 'clear', 'mostly', 'visionary', 'definition', 'sustainablefinance', ""'future-fit"", 'investment', 'need', 'focus', 'future-fit', 'investment', 'state', 'seankidney', 'fossilgas', 'fossilfuels', 'climatecrisis', 'climatefinance', 'greenfinance', 'sustainablefinance', 'eutaxonomy', 'veto']","['definition', 'sustainablefinance', 'investment', 'investment', 'state', 'fossilfuels', 'climatecrisis', 'climatefinance', 'greenfinance', 'sustainablefinance', 'veto']"
29,2022-03-30T09:30:00.000Z, Why We Need to be More Precise with ESG Definitions #ESGinvesting   #RaceToZero   #ClimateAction   #SustainableFinance,"""sustainablefinance""AND""definition""",ESGinvesting,2022-03-30 09:30:00+00:00,2022-03-30,"['need', 'precise', 'esg', 'definition', 'esginvesting', 'racetozero', 'climateaction', 'sustainablefinance']","['definition', 'racetozero', 'climateaction', 'sustainablefinance']"
